Update,Type,Abundance
40500,Cooperator,5681
40500,Cheater,3872
40600,Cooperator,5595
40600,Cheater,3830
40700,Cooperator,5727
40700,Cheater,3721
40800,Cooperator,5916
40800,Cheater,3633
40900,Cooperator,5959
40900,Cheater,3664
41000,Cooperator,5923
41000,Cheater,3653
41100,Cooperator,5935
41100,Cheater,3799
41200,Cooperator,5800
41200,Cheater,4001
41300,Cooperator,5701
41300,Cheater,3921
41400,Cooperator,5707
41400,Cheater,3943
41500,Cooperator,5578
41500,Cheater,4128
41600,Cooperator,5555
41600,Cheater,4174
41700,Cooperator,5449
41700,Cheater,4497
41800,Cooperator,5496
41800,Cheater,4145
41900,Cooperator,5445
41900,Cheater,4267
42000,Cooperator,4856
42000,Cheater,4518
42100,Cooperator,4610
42100,Cheater,4518
42200,Cooperator,4777
42200,Cheater,4641
42300,Cooperator,4607
42300,Cheater,4359
42400,Cooperator,4709
42400,Cheater,4515
42500,Cooperator,4657
42500,Cheater,4373
42600,Cooperator,4757
42600,Cheater,4476
42700,Cooperator,4793
42700,Cheater,4145
42800,Cooperator,4855
42800,Cheater,4316
42900,Cooperator,5027
42900,Cheater,4110
43000,Cooperator,5143
43000,Cheater,3786
43100,Cooperator,5546
43100,Cheater,3737
43200,Cooperator,5825
43200,Cheater,3885
43300,Cooperator,5765
43300,Cheater,3925
43400,Cooperator,5756
43400,Cheater,4030
43500,Cooperator,5596
43500,Cheater,4069
43600,Cooperator,5447
43600,Cheater,4043
43700,Cooperator,5207
43700,Cheater,4477
43800,Cooperator,5161
43800,Cheater,4350
43900,Cooperator,5242
43900,Cheater,4090
44000,Cooperator,5458
44000,Cheater,4141
44100,Cooperator,5405
44100,Cheater,4123
44200,Cooperator,5476
44200,Cheater,4000
44300,Cooperator,5345
44300,Cheater,4279
44400,Cooperator,5241
44400,Cheater,4249
44500,Cooperator,5047
44500,Cheater,4125
44600,Cooperator,5016
44600,Cheater,4616
44700,Cooperator,4964
44700,Cheater,4713
44800,Cooperator,4956
44800,Cheater,4524
44900,Cooperator,4988
44900,Cheater,4263
45000,Cooperator,5265
45000,Cheater,4361
45100,Cooperator,5145
45100,Cheater,4373
45200,Cooperator,5206
45200,Cheater,4321
45300,Cooperator,5133
45300,Cheater,4421
45400,Cooperator,5380
45400,Cheater,4309
45500,Cooperator,5381
45500,Cheater,4319
45600,Cooperator,5340
45600,Cheater,4106
45700,Cooperator,5384
45700,Cheater,3979
45800,Cooperator,5573
45800,Cheater,3859
